Escena,Texto
1,Por el momento no hay predicciones
1,4nt1 es un pedazo de software para la ofuscación de audio e imagen
1,Por favor, acércate para activar la interacción
1,Pueden participar hasta tres personas
1,La experiencia se activa cuando detecta un rostro dentro del rango de la cámara
1,Para experimentar la pieza será necesario que te quites el cubrebocas
1,Con el código QR puedes acceder a la versión web de 4nt1
2,Predicción detectada
2,Por favor mueve el rostro y escucha
2,Voltea a un lado, al otro ¿qué hay? ¿qué suena? ¿Y el monitor?
2,Conforme pasa el tiempo se activan distintas escenas
2,Cada escena es un estudio de ofuscación visual
2,Esta grabación es un estudio de ofuscación sonora
2,¿Distingues la voz?¿Distingues el rostro que está en pantalla?
